     0   0,000
     1   0,001
     2   0,002
     3   0,003
     4   0,004
     8   0,008
    16   0,016
    17   0,017
    32   0,032
    33   0,033
    87   0,087
    88   0,088
    89   0,089
    90   0,090
   275   0,275
   276   0,276
  1198   1,198
  1199   1,199
  1200   1,200
  2515   2,515
  2516   2,516
  2517   2,517
  2518   2,518
  8983   8,983
  8984   8,984
 11457  11,457
 11458  11,458
 13931  13,931
 13932  13,932
 17520  17,520
 17521  17,521
 17522  17,522
 19339  19,339
 19340  19,340
 19341  19,341
 19342  19,342
 21158  21,158
 21159  21,159
 21160  21,160
 21161  21,161
 22978  22,978
 22979  22,979
 22980  22,980
 24797  24,797
 24798  24,798
 24799  24,799
 24800  24,800
 26617  26,617
 26618  26,618
 26619  26,619
 28436  28,436
 28437  28,437
 28438  28,438
 28439  28,439
 30256  30,256
 30257  30,257
 30258  30,258
 32073  32,073
 32074  32,074
 32075  32,075
 32076  32,076
 32077  32,077
 32078  32,078
 32079  32,079
 33893  33,893
 33894  33,894
 33895  33,895
 33896  33,896
 33897  33,897
 33898  33,898
 33899  33,899
 35712  35,712
 35713  35,713
 35714  35,714
 35715  35,715
 35716  35,716
 35717  35,717
 35718  35,718
 37532  37,532
 37533  37,533
 37534  37,534
 37535  37,535
 37536  37,536
 37537  37,537
 37538  37,538
 39351  39,351
 39352  39,352
 39353  39,353
 39354  39,354
 39355  39,355
 39356  39,356
 39357  39,357
 41171  41,171
 41172  41,172
 41173  41,173
 41174  41,174
 41175  41,175
 41176  41,176
 41177  41,177
 42990  42,990
 42991  42,991
 42992  42,992
 42993  42,993
 42994  42,994
 42995  42,995
 42996  42,996
 44810  44,810
 44811  44,811
 44812  44,812
 44813  44,813
 44814  44,814
 44815  44,815
 46629  46,629
 46630  46,630
 46631  46,631
 46632  46,632
 46633  46,633
 46634  46,634
 46635  46,635
 48448  48,448
 48449  48,449
 48450  48,450
 48451  48,451
 48452  48,452
 48453  48,453
 48454  48,454
 50268  50,268
 50269  50,269
 50270  50,270
 50271  50,271
 50272  50,272
 50273  50,273
 50274  50,274
 52087  52,087
 52088  52,088
 52089  52,089
 52090  52,090
 52091  52,091
 52092  52,092
 52093  52,093
 53907  53,907
 53908  53,908
 53909  53,909
 53910  53,910
 53911  53,911
 53912  53,912
 53913  53,913
 55726  55,726
 55727  55,727
 55728  55,728
 55729  55,729
 55730  55,730
 55731  55,731
 55732  55,732
 57546  57,546
 57547  57,547
 57548  57,548
 57549  57,549
 57550  57,550
 57551  57,551
 57552  57,552
 59365  59,365
 59366  59,366
 59367  59,367
 59368  59,368
 59369  59,369
 59370  59,370
 59371  59,371
 61185  61,185
 61186  61,186
 61187  61,187
 61188  61,188
 61189  61,189
 61190  61,190
 63004  63,004
 63005  63,005
 63006  63,006
 63007  63,007
 63008  63,008
 63009  63,009
 63010  63,010
 64827  64,827
 64828  64,828
 64829  64,829
 64830  64,830
 64831  64,831
 64832  64,832
 64833  64,833
 64834  64,834
 64835  64,835
 64836  64,836
 64837  64,837
 64838  64,838
 64839  64,839
 64840  64,840
 66646  66,646
 66647  66,647
 66648  66,648
 66649  66,649
 66650  66,650
 66651  66,651
 66652  66,652
 66653  66,653
 66654  66,654
 66655  66,655
 66656  66,656
 66657  66,657
 66658  66,658
 66659  66,659
 68466  68,466
 68467  68,467
 68468  68,468
 68469  68,469
 68470  68,470
 68471  68,471
 68472  68,472
 68473  68,473
 68474  68,474
 68475  68,475
 68476  68,476
 68477  68,477
 68478  68,478
 68479  68,479
 70285  70,285
 70286  70,286
 70287  70,287
